Device,Humidity,Temperature,Experiment,time,Pi
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:23:20.397429000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:23:30.784027000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:23:36.078075000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:23:40.926324000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:23:50.956237000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:23:58.308470000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:24:05.732465000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:24:15.599875000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:24:36.308703000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:24:53.752979000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:25:03.597896000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:25:16.189087000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',36,29,1,2018-03-26 10:25:23.475788000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',36,29,1,2018-03-26 10:25:30.846804000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',36,29,1,2018-03-26 10:25:38.266042999,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:25:45.676082000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:25:50.532486000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:25:57.940906000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:26:02.719022000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:26:07.508777000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:26:14.890600000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',36,29,1,2018-03-26 10:26:19.732020000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:26:29.542948000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:26:37.046107000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:26:41.914105000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:26:46.723799000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:26:51.517713000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:26:59.537084000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:27:04.392369000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:27:09.227765000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:27:13.981331000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:27:18.771491000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:27:23.559209000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:27:28.308480000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:27:33.147378000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:27:37.938167000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:27:42.696113000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:27:47.468021000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb', None, None,1,2018-03-26 10:28:29.630310000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:28:34.542171000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:28:42.017231000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:28:46.794192000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:28:54.151630000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:29:06.564861000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:29:11.397556000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:29:16.288676000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:29:21.088331000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:29:30.914270000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:29:36.143064000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:29:40.907227000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:29:50.741685000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:29:58.177836000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:30:08.048629000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:30:12.826291000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:30:17.706880000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:30:27.571064000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:30:32.414365000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:30:39.745482000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:30:44.590040000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:30:54.410597000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:30:59.177751000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',36,29,1,2018-03-26 10:31:03.950638000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:31:08.889082000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:31:16.240580000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:31:23.523383000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:31:28.278475000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,29,1,2018-03-26 10:31:35.577482000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:31:42.898220000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:31:47.658312000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:31:52.415510000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',36,29,1,2018-03-26 10:31:57.308268000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:32:02.228039000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:32:07.342718000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:32:14.806199000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:32:19.576535000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:32:24.341853000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:32:29.226437000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:32:33.994265000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',36,29,1,2018-03-26 10:32:46.332258000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:32:51.090440000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',36,29,1,2018-03-26 10:33:01.133243000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:33:08.477138000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:33:30.932875000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:33:50.888829000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',36,29,1,2018-03-26 10:33:55.647917000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:34:00.422517000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:34:05.238569000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:34:10.194571000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:34:14.958708000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',34,28,1,2018-03-26 10:34:22.308549000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:34:27.088368000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:34:31.948464000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:34:36.782319000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:34:41.693987000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:34:49.374039000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',36,29,1,2018-03-26 10:35:01.717344000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:35:06.511298000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:35:11.274481000,pi4
 'gnfuv-temp-exp1-55d487b85b-8kgfb',35,28,1,2018-03-26 10:35:18.589516000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:25:17.397235000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',36,29,1,2018-03-26 10:25:42.443043000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',36,29,1,2018-03-26 10:25:48.233062000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',36,29,1,2018-03-26 10:25:53.082218000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:26:00.506375000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:26:05.535362000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:26:10.286465000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:26:17.584858000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',36,29,1,2018-03-26 10:26:22.366629000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:26:44.832734000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:26:49.608589000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:26:56.956001000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:27:01.958455000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:27:06.817956000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:27:11.577139000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:27:16.355970000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:27:21.117656000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:27:31.010793000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:27:35.792745000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:27:40.648379000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:27:50.533057000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:28:30.665490000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:28:38.528365000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:28:43.410134000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:28:50.733648000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:28:58.054343000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:29:02.922251000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:29:10.278733000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:29:15.038333000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:29:19.829668000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:29:27.252249000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:29:32.158397000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:29:37.456556000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:29:42.279066000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:29:47.105951000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:29:51.946703000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:30:01.814065000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:30:06.721982000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:30:11.491707000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:30:16.247573000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:30:36.171546000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:30:43.457322000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:30:50.923692000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:30:55.684250000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:31:00.468664000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:31:05.238724000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:31:12.521893999,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:31:19.856727000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',36,29,1,2018-03-26 10:31:27.154909000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:31:31.979552000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:31:39.338570000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:31:44.236379000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:31:49.022181000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',36,29,1,2018-03-26 10:31:53.807306000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:31:58.622692000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:32:04.182662000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:32:11.480638000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:32:16.279104000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:32:21.128950000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:32:25.965268000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:32:30.727785000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:32:38.291924000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:32:43.611428000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:32:48.404402000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:32:53.212107000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:32:58.067092000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:33:05.398418000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,29,1,2018-03-26 10:33:10.506660000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',34,28,1,2018-03-26 10:33:22.940588000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:33:27.766604000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:33:35.081237000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:33:39.851522000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:33:44.669234000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:33:49.529386000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:33:54.285092000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:33:59.117815000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:34:03.865060000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:34:08.708735000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:34:16.085859000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:34:25.897157000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:34:30.656744000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:34:35.478725000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:34:43.061697000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:34:50.611152000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:34:57.989581000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:35:05.274974000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:35:15.108597000,pi4
 'gnfuv-temp-exp1-55d487b85b-f7gdd',35,28,1,2018-03-26 10:35:20.118756000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,31,1,2018-03-26 16:56:43.095463000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',38,31,1,2018-03-26 16:56:49.151287000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,31,1,2018-03-26 16:56:54.169473000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',38,31,1,2018-03-26 16:56:58.936870000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',38,31,1,2018-03-26 16:57:03.910987000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,31,1,2018-03-26 16:57:16.305318000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,32,1,2018-03-26 16:57:21.392947000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,32,1,2018-03-26 16:57:29.079021000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,32,1,2018-03-26 16:57:41.476853000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,32,1,2018-03-26 16:57:47.051101000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,32,1,2018-03-26 16:57:51.785448000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,32,1,2018-03-26 16:57:56.531832000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,32,1,2018-03-26 16:58:03.808180000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,32,1,2018-03-26 16:58:09.266034000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,32,1,2018-03-26 16:58:18.172422000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 16:58:24.832461000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',37,32,1,2018-03-26 16:58:34.638620000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 16:58:42.011581000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 16:58:57.730458000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 16:59:01.838354000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 16:59:09.610850000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 16:59:16.908969000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 16:59:24.077124000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 16:59:29.078022000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 16:59:34.119177000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 16:59:42.427856000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 16:59:53.175028000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,32,1,2018-03-26 17:00:01.977509000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,33,1,2018-03-26 17:00:08.698227000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',35,32,1,2018-03-26 17:00:15.891035000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',36,33,1,2018-03-26 17:00:41.750937000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',35,33,1,2018-03-26 17:01:18.067507000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',35,33,1,2018-03-26 17:01:25.566933000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',35,33,1,2018-03-26 17:01:31.806076000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',35,33,1,2018-03-26 17:01:38.044443000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',34,33,1,2018-03-26 17:01:44.284290000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',34,33,1,2018-03-26 17:01:53.051704000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',34,34,1,2018-03-26 17:01:59.885726000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',34,34,1,2018-03-26 17:02:06.126565000,pi4
 'gnfuv-temp-exp1-55d487b85b-gq5tj',34,34,1,2018-03-26 17:02:12.363007000,pi4
